sid,sub,pid,pred,oid,obj,class,score,,paths
2855700,dbr:Woodrow_Wilson,571,dbo:spouse,826472,dbr:Edith_Bolling_Galt_Wilson,1,0.324734205,0,"['dbr:Woodrow_Wilson\n', 'dbr:Ellen_Axson_Wilson\n', 'dbr:Edith_Bolling_Galt_Wilson\n']"
2803138,dbr:Warren_G._Harding,571,dbo:spouse,826472,dbr:Edith_Bolling_Galt_Wilson,0,0.324734205,1,"['dbr:Warren_G._Harding\n', 'dbr:Florence_Harding\n', 'dbr:Edith_Bolling_Galt_Wilson\n']"
1039239,dbr:Gerald_Ford,571,dbo:spouse,826472,dbr:Edith_Bolling_Galt_Wilson,0,0.087834015,10,"['dbr:Gerald_Ford\n', 'db:ontology/OfficeHolder\n', 'dbr:Edith_Bolling_Galt_Wilson\n']"
1036228,dbr:George_W._Bush,571,dbo:spouse,403020,dbr:Bess_Truman,0,0.13673254,100,"['dbr:George_W._Bush\n', 'dbr:Barbara_Bush\n', 'dbr:First_Lady_of_the_United_States\n', 'dbr:Bess_Truman\n']"
360813,dbr:Barack_Obama,571,dbo:spouse,403020,dbr:Bess_Truman,0,0.102056909,101,"['dbr:Barack_Obama\n', 'dbr:The_After_Party:_The_Last_Party_3\n', 'dbr:Barbara_Bush\n', 'dbr:First_Lady_of_the_United_States\n', 'dbr:Bess_Truman\n']"
2855700,dbr:Woodrow_Wilson,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.130714186,102,"['dbr:Woodrow_Wilson\n', 'dbr:Presbyterianism\n', 'dbr:Mamie_Eisenhower\n']"
2803138,dbr:Warren_G._Harding,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.101615542,103,"['dbr:Warren_G._Harding\n', 'dbr:Wallace_Rider_Farrington\n', 'dbr:Lawrence_M._Judd\n', 'dbr:Dwight_D._Eisenhower\n', 'dbr:Mamie_Eisenhower\n']"
520375,dbr:Calvin_Coolidge,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.12125503,104,"['dbr:Calvin_Coolidge\n', 'dbr:J._Edgar_Hoover\n', 'dbr:Dwight_D._Eisenhower\n', 'dbr:Mamie_Eisenhower\n']"
1170654,dbr:Herbert_Hoover,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.148301873,105,"['dbr:Herbert_Hoover\n', 'dbr:Lou_Henry_Hoover\n', 'dbr:First_Lady_of_the_United_States\n', 'dbr:Mamie_Eisenhower\n']"
982697,dbr:Franklin_D._Roosevelt,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.150083436,106,"['dbr:Franklin_D._Roosevelt\n', 'dbr:Eleanor_Roosevelt\n', 'dbr:Bess_Truman\n', 'dbr:Mamie_Eisenhower\n']"
1146400,dbr:Harry_S._Truman,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.286951732,107,"['dbr:Harry_S._Truman\n', 'dbr:Bess_Truman\n', 'dbr:Mamie_Eisenhower\n']"
808950,dbr:Dwight_D._Eisenhower,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,1,0.286951732,108,"['dbr:Dwight_D._Eisenhower\n', 'dbr:Doud_Eisenhower\n', 'dbr:Mamie_Eisenhower\n']"
1351832,dbr:John_F._Kennedy,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.312771273,109,"['dbr:John_F._Kennedy\n', 'dbr:Presidency_of_Dwight_D._Eisenhower\n', 'dbr:Mamie_Eisenhower\n']"
1334643,dbr:Jimmy_Carter,571,dbo:spouse,826472,dbr:Edith_Bolling_Galt_Wilson,0,0.094528719,11,"['dbr:Jimmy_Carter\n', 'dbr:James_Dickson_Phillips,_Jr.\n', 'dbr:Davidson_College\n', 'dbr:Woodrow_Wilson\n', 'dbr:Edith_Bolling_Galt_Wilson\n']"
1655502,dbr:Lyndon_B._Johnson,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.164268448,110,"['dbr:Lyndon_B._Johnson\n', 'dbr:Ridgway_B._Knight\n', 'dbr:John_Eisenhower\n', 'dbr:Mamie_Eisenhower\n']"
2208013,dbr:Richard_Nixon,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.312771273,111,"['dbr:Richard_Nixon\n', 'dbr:Presidency_of_Dwight_D._Eisenhower\n', 'dbr:Mamie_Eisenhower\n']"
1039239,dbr:Gerald_Ford,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.14262757,112,"['dbr:Gerald_Ford\n', 'dbr:Betty_Ford\n', 'dbr:First_Lady_of_the_United_States\n', 'dbr:Mamie_Eisenhower\n']"
1334643,dbr:Jimmy_Carter,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.125239265,113,"['dbr:Jimmy_Carter\n', 'dbr:Arthur_F._Burns\n', 'dbr:Dwight_D._Eisenhower\n', 'dbr:Mamie_Eisenhower\n']"
2245582,dbr:Ronald_Reagan,571,dbo:spouse,1687544,dbr:Mamie_Eisenhower,0,0.141474221,114,"['dbr:Ronald_Reagan\n', 'dbr:Nancy_Reagan\n', 'dbr:First_Lady_of_the_United_States\n', 'dbr:Mamie_Eisenhower\n']"
